lokacija,nadmorska_visina,vrsta_lokacije,latitude,longitude,senzor,vrsta_mjerenja,temperatura,datum,vrijeme,datum_vrijeme
Zagreb-Tresnjevka,125,unutarnja temperatura,45.79991700,15.95386100,Xiaomi Temperature and Humidity Monitor 2,temperatura,21.60,2025-10-22,20:00:00,2025-10-22 20:00:00
Zagreb-Tresnjevka,125,unutarnja temperatura,45.79991700,15.95386100,Xiaomi Temperature and Humidity Monitor 2,temperatura,21.70,2025-10-22,21:00:00,2025-10-22 21:00:00
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,18.50,2025-10-22,22:00:00,2025-10-22 22:00:00
Zagreb-Tresnjevka,125,unutarnja temperatura,45.79991700,15.95386100,Xiaomi Temperature and Humidity Monitor 2,temperatura,22.08,2025-10-22,22:00:00,2025-10-22 22:00:00
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,19.00,2025-10-22,22:17:47,2025-10-22 22:17:47
Zagreb-Tresnjevka,125,unutarnja temperatura,45.79991700,15.95386100,Xiaomi Temperature and Humidity Monitor 2,temperatura,22.14,2025-10-22,23:00:00,2025-10-22 23:00:00
Zagreb-Tresnjevka,125,unutarnja temperatura,45.79991700,15.95386100,Xiaomi Temperature and Humidity Monitor 2,temperatura,21.93,2025-10-23,00:00:00,2025-10-23 00:00:00
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,18.70,2025-10-23,00:25:01,2025-10-23 00:25:01
Zagreb-Tresnjevka,125,unutarnja temperatura,45.79991700,15.95386100,Xiaomi Temperature and Humidity Monitor 2,temperatura,21.78,2025-10-23,01:00:00,2025-10-23 01:00:00
Zagreb-Tresnjevka,125,vanjska temperatura,45.79991700,15.95386100,Sonoff TH Elite 1,temperatura,18.50,2025-10-23,01:24:29,2025-10-23 01:24:29
Zagreb-Tresnjevka,125,unutarnja temperatura,45.79991700,15.95386100,Xiaomi Temperature and Humidity Monitor 2,temperatura,21.69,2025-10-23,02:00:00,2025-10-23 02:00:00
